TimeStamp,Code
521434.6995,sw_6
521443.8882,sw_9
521448.8893,sw_14
521455.9322,sw_34
521459.9486,sw_9
521464.9679,sw_14
521471.9922,sw_88
521476.0047,sw_9
521481.0346,sw_14
521488.0649,sw_33
521492.0844,sw_9
521497.0916,sw_14
521504.1168,sw_31
521508.1463,sw_9
521513.1638,sw_14
521520.1945,sw_33
521524.1743,sw_9
521529.2245,sw_14
521536.2572,sw_33
521540.2794,sw_9
521545.2872,sw_14
521552.3153,sw_33
521556.3235,sw_9
521561.3385,sw_14
521568.3949,sw_88
521572.4026,sw_9
521577.4297,sw_14
521584.4624,sw_31
521588.4782,sw_9
521593.4689,sw_14
521600.5126,sw_34
521604.5449,sw_9
521609.5574,sw_14
521616.5848,sw_31
521620.61,sw_9
521625.6177,sw_14
521632.6584,sw_34
521636.6266,sw_9
521641.6914,sw_14
521648.7131,sw_31
521652.7406,sw_9
521657.7561,sw_14
521664.7861,sw_34
521668.8098,sw_9
521673.8237,sw_14
521680.8496,sw_31
521684.8548,sw_9
521689.8873,sw_14
521696.9147,sw_32
521700.9369,sw_9
521705.9544,sw_14
521712.9698,sw_32
521717.0056,sw_9
521722.0202,sw_14
521729.0361,sw_88
521733.0713,sw_9
521738.079,sw_14
521745.1168,sw_32
521749.1361,sw_9
521754.148,sw_14
521761.1735,sw_88
521765.2017,sw_9
521770.2098,sw_14
521777.2342,sw_32
521781.2638,sw_9
521786.2835,sw_14
521793.3107,sw_88
521797.2997,sw_9
521802.3505,sw_14
521809.3651,sw_32
521813.3982,sw_9
521818.3917,sw_14
521825.4175,sw_33
521829.4632,sw_9
521834.4781,sw_14
521841.5116,sw_34
521845.5449,sw_6
521887.0409,sw_9
521892.0604,sw_14
521899.0578,sw_32
521903.106,sw_9
521908.1253,sw_14
521915.1561,sw_88
521919.176,sw_9
521924.1921,sw_14
521931.2253,sw_33
521935.2396,sw_9
521940.2523,sw_14
521947.2849,sw_34
521951.3089,sw_9
521956.3226,sw_14
521963.3578,sw_88
521967.3616,sw_9
521972.3689,sw_14
521979.4247,sw_31
521983.4291,sw_9
521988.455,sw_14
521995.4835,sw_34
521999.4931,sw_9
522004.521,sw_14
522011.5523,sw_31
522015.5515,sw_9
522020.572,sw_14
522027.6171,sw_34
522031.6381,sw_9
522036.6459,sw_14
522043.6873,sw_88
522047.7052,sw_9
522052.7173,sw_14
522059.7533,sw_33
522063.7607,sw_9
522068.7857,sw_14
522075.8117,sw_32
522079.8375,sw_9
522084.8517,sw_14
522091.8694,sw_88
522095.9001,sw_9
522100.9178,sw_14
522107.9325,sw_31
522111.9681,sw_9
522116.978,sw_14
522124.0127,sw_88
522128.0318,sw_9
522133.0514,sw_14
522140.0825,sw_34
522144.0964,sw_9
522149.1102,sw_14
522156.1456,sw_32
522160.1411,sw_9
522165.153,sw_14
522172.2095,sw_32
522176.2126,sw_9
522181.2453,sw_14
522188.2714,sw_32
522192.2923,sw_9
522197.3112,sw_14
522204.3455,sw_33
522208.3599,sw_9
522213.3747,sw_14
522220.4062,sw_34
522224.425,sw_9
522229.4025,sw_14
522236.4448,sw_33
522240.4674,sw_9
522245.5234,sw_14
522252.5449,sw_31
522256.5633,sw_9
522261.5922,sw_14
522268.6111,sw_33
522272.6495,sw_9
522277.6641,sw_14
522284.6756,sw_31
522288.7295,sw_6
522426.4433,sw_9
522431.4658,sw_14
522438.4949,sw_32
522442.5076,sw_9
522447.5286,sw_14
522452.6626,sw_6
