TimeStamp,ax,ay,az,gx,gy,gz,mx,my,mz
521434.7108,130.113,-31.415,999.546,-892.5,-3307.5,-1146.25,-51.68,-44.08,-308.56
521434.7608,125.721,-43.005,1010.099,-3412.5,-2108.75,-3080.0,-47.12,-9.12,-317.68
521434.8108,116.327,-31.171,1009.733,-2135.0,-1391.25,-5223.75,-38.0,-25.84,-314.64
521434.8608,118.035,-52.948,1017.907,-3876.25,-2126.25,-5600.0,-44.08,-30.4,-304.0
521434.9108,109.861,-49.471,1009.245,-2633.75,-1732.5,-5363.75,-36.48,-36.48,-316.16
521434.9608,97.783,-49.593,1020.042,-1610.0,-988.75,-1321.25,-47.12,-33.44,-314.64
521435.0108,84.119,-39.101,1018.151,-1680.0,-2843.75,1767.5,-27.36,-30.4,-320.72
521435.061,89.67,-44.103,1015.711,-1706.25,-2003.75,113.75,-39.52,-27.36,-317.68
521435.1108,86.498,-51.911,1015.528,-2712.5,-2310.0,-2931.25,-33.44,-36.48,-322.24
521435.1608,77.653,-43.31,1021.018,-2065.0,-3421.25,-3342.5,-34.96,-47.12,-313.12
521435.2108,83.936,-45.689,1019.737,-3780.0,-4051.25,-3666.25,-47.12,-47.12,-310.08
521435.2608,84.424,-55.937,1016.504,-3255.0,-4156.25,-1688.75,-34.96,-27.36,-316.16
521435.3108,82.655,-48.007,1017.419,315.0,-4418.75,2038.75,-38.0,-33.44,-294.88
521435.3608,89.792,-37.088,1019.737,175.0,-4978.75,4025.0,-39.52,-28.88,-316.16
521435.4108,94.001,-35.929,1017.724,-52.5,-5118.75,2835.0,-41.04,-34.96,-319.2
521435.4608,100.528,-45.994,1020.103,560.0,-4908.75,1697.5,-45.6,-41.04,-319.2
521435.5108,98.149,-33.672,1007.476,927.5,-4182.5,1618.75,-36.48,-38.0,-302.48
521435.5608,91.439,-29.097,1014.552,472.5,-4270.0,1776.25,-30.4,-27.36,-317.68
521435.6108,77.165,-32.696,1015.955,-3272.5,-4672.5,105.0,-28.88,-30.4,-320.72
521435.6608,87.84,-45.201,1021.567,-3570.0,-6475.0,910.0,-39.52,-28.88,-313.12
521435.7108,88.877,-44.469,1017.053,-2843.75,-6387.5,1802.5,-44.08,-28.88,-313.12
521435.7608,117.425,-51.728,1011.502,-1006.25,-5906.25,3823.75,-39.52,-31.92,-314.64
521435.8108,106.75,-46.36,1011.075,-1321.25,-4978.75,3815.0,-47.12,-21.28,-313.12
521435.8608,112.85,-51.24,1010.16,-778.75,-3648.75,1102.5,-30.4,-31.92,-319.2
521435.9108,101.687,-46.299,1014.43,-437.5,-3473.75,-52.5,-19.76,-22.8,-300.96
521435.9608,94.367,-33.794,1014.918,-1023.75,-2546.25,-1601.25,-44.08,-45.6,-314.64
521436.0108,84.851,-36.112,1021.323,-1478.75,-5766.25,-630.0,-45.6,-24.32,-297.92
521436.0608,104.615,-41.053,1012.417,-1251.25,-5215.0,122.5,-41.04,-21.28,-307.04
521436.1108,93.452,-40.077,1014.369,-490.0,-3937.5,-805.0,-44.08,-38.0,-304.0
521436.1608,92.781,-31.232,1015.101,-1557.5,-3867.5,-1365.0,-36.48,-33.44,-311.6
521436.2108,84.18,-37.515,1017.724,-1163.75,-4733.75,-341.25,-36.48,-41.04,-305.52
521436.2608,91.622,-38.003,1012.6,-1295.0,-5670.0,376.25,-31.92,-30.4,-308.56
521436.3108,110.959,-42.334,1017.724,-385.0,-5582.5,428.75,-31.92,-44.08,-313.12
521436.3608,88.511,-25.803,1008.086,-971.25,-3963.75,341.25,-33.44,-33.44,-302.48
521436.4108,95.221,-33.306,1015.833,-1986.25,-4830.0,210.0,-31.92,-25.84,-311.6
521436.4608,94.367,-29.219,1013.881,-2178.75,-4515.0,-376.25,-27.36,-28.88,-305.52
521436.5109,93.025,-42.151,1018.639,-1347.5,-4060.0,945.0,-44.08,-28.88,-310.08
521436.5608,94.367,-39.162,1015.528,-1452.5,-5101.25,1855.0,-44.08,-18.24,-313.12
521436.6108,100.772,-42.09,1021.201,-1268.75,-4777.5,918.75,-51.68,-30.4,-304.0
521436.6608,90.89,-37.82,1016.26,-2467.5,-5783.75,612.5,-19.76,-25.84,-319.2
521436.7108,103.517,-42.517,1013.637,-813.75,-5713.75,402.5,-33.44,-31.92,-282.72
