TimeStamp,Code
604176.6761,sw_6
604186.8165,sw_9
604191.8646,sw_14
604198.8834,sw_33
604202.8865,sw_9
604207.9323,sw_14
604214.9662,sw_34
604218.9825,sw_9
604223.9941,sw_14
604231.0487,sw_31
604235.0459,sw_9
604240.0509,sw_14
604247.1141,sw_32
604251.1271,sw_9
604256.1271,sw_14
604263.1766,sw_31
604267.1953,sw_9
604272.2116,sw_14
604279.2447,sw_34
604283.2627,sw_9
604288.2797,sw_14
604295.3108,sw_32
604299.309,sw_9
604304.3436,sw_14
604311.3773,sw_31
604315.3969,sw_9
604320.4098,sw_14
604327.4391,sw_31
604331.4548,sw_9
604336.4747,sw_14
604343.5075,sw_33
604347.5252,sw_9
604352.5339,sw_14
604359.5742,sw_31
604363.5805,sw_9
604368.6046,sw_14
604375.6057,sw_32
604379.656,sw_9
604384.6695,sw_14
604391.7083,sw_34
604395.7199,sw_9
604400.7338,sw_14
604407.7698,sw_32
604411.7889,sw_9
604416.8049,sw_14
604423.8048,sw_34
604427.8418,sw_9
604432.8609,sw_14
604439.8852,sw_33
604443.9136,sw_9
604448.9351,sw_14
604455.961,sw_34
604459.9853,sw_9
604465.0042,sw_14
604472.0345,sw_33
604476.038,sw_9
604481.0679,sw_14
604488.0897,sw_32
604492.0814,sw_9
604497.1297,sw_14
604504.1667,sw_33
604508.1913,sw_6
604554.9468,sw_9
604559.9678,sw_14
604566.9955,sw_33
604571.013,sw_9
604576.0244,sw_14
604583.0621,sw_31
604587.046,sw_9
604592.0692,sw_14
604599.1292,sw_32
604603.135,sw_9
604608.1305,sw_14
604615.1956,sw_34
604619.1996,sw_9
604624.2039,sw_14
604631.2592,sw_33
604635.2601,sw_9
604640.2851,sw_14
604647.3271,sw_33
604651.3408,sw_9
604656.3551,sw_14
604663.3868,sw_33
604667.4081,sw_9
604672.4244,sw_14
604679.4454,sw_32
604683.4735,sw_9
604688.4874,sw_14
604695.5225,sw_34
604699.5359,sw_9
604704.5556,sw_14
604711.5862,sw_31
604715.6008,sw_9
604720.5898,sw_14
604727.6495,sw_31
604731.6615,sw_9
604736.6605,sw_14
604743.7163,sw_32
604747.7282,sw_9
604752.7519,sw_14
604759.786,sw_34
604763.7978,sw_9
604768.8108,sw_14
604775.8494,sw_33
604779.8443,sw_9
604784.8836,sw_14
604791.9182,sw_31
604795.9352,sw_9
604800.9447,sw_14
604807.9742,sw_34
604812.002,sw_9
604817.0081,sw_14
604824.0336,sw_31
604828.0285,sw_9
604833.0827,sw_14
604840.1143,sw_32
604844.1193,sw_9
604849.1204,sw_14
604856.1813,sw_32
604860.1971,sw_9
604865.2154,sw_14
604872.2407,sw_34
604876.2587,sw_6
605009.5581,sw_9
605014.629,sw_14
605021.6673,sw_34
605025.6895,sw_9
605030.7008,sw_14
605037.7359,sw_33
605041.7553,sw_9
605046.7587,sw_14
605053.8033,sw_31
605057.8174,sw_9
605062.8379,sw_14
605069.8299,sw_33
605073.8838,sw_9
605078.8867,sw_14
605085.9379,sw_33
605089.9496,sw_9
605094.9562,sw_14
605101.9954,sw_34
605106.0176,sw_9
605111.0313,sw_14
605118.0651,sw_32
605122.0539,sw_9
605127.0819,sw_14
605134.1298,sw_33
605138.1415,sw_9
605143.1576,sw_14
605150.1923,sw_34
605154.2115,sw_9
605159.1627,sw_14
605166.2563,sw_31
605170.2784,sw_9
605175.2975,sw_14
605182.2883,sw_32
605186.3458,sw_9
605191.3643,sw_14
605198.3853,sw_32
605202.41,sw_9
605207.4186,sw_14
605214.441,sw_33
605218.4791,sw_9
605223.4695,sw_14
605230.5283,sw_34
605234.5444,sw_9
605239.5597,sw_14
605246.59,sw_31
605250.5973,sw_9
605255.6273,sw_14
605262.6591,sw_32
605266.6625,sw_9
605271.6912,sw_14
605278.7239,sw_34
605282.7114,sw_9
605287.7434,sw_14
605294.7889,sw_31
605298.8002,sw_9
605303.8158,sw_14
605310.8395,sw_31
605314.8752,sw_9
605319.8841,sw_14
605326.8989,sw_32
605330.9447,sw_6
605509.2034,sw_9
605514.2396,sw_14
605521.2431,sw_31
605525.2792,sw_9
605530.3125,sw_14
605537.3038,sw_32
605541.3563,sw_9
605546.3778,sw_14
605553.4057,sw_31
605557.4204,sw_9
605562.4311,sw_14
605569.4752,sw_34
605573.4917,sw_9
605578.4752,sw_14
605585.5258,sw_33
605589.5582,sw_9
605594.5637,sw_14
605601.608,sw_33
605605.6049,sw_9
605610.6237,sw_14
605617.6745,sw_33
605621.6904,sw_9
605626.7061,sw_14
605633.7367,sw_34
605637.7407,sw_9
605642.7687,sw_14
605649.8005,sw_34
605653.8139,sw_9
605658.8378,sw_14
605665.8645,sw_32
605669.8883,sw_9
605674.9016,sw_14
605681.9295,sw_33
605685.9418,sw_9
605690.9306,sw_14
605698.0038,sw_32
605701.9867,sw_9
605707.0351,sw_14
605714.0567,sw_32
605718.0687,sw_9
605723.0799,sw_14
605730.1329,sw_31
605734.1506,sw_9
605739.1673,sw_14
605746.1987,sw_32
605750.2187,sw_9
605755.2194,sw_14
605762.2383,sw_34
605766.27,sw_9
605771.2918,sw_14
605778.3267,sw_33
605782.3472,sw_9
605787.3644,sw_14
605794.3938,sw_31
605798.4151,sw_9
605803.4219,sw_14
605810.4574,sw_31
605814.4447,sw_9
605819.4591,sw_14
605826.5293,sw_34
605830.5566,sw_6
