TimeStamp,ax,ay,az,gx,gy,gz,mx,my,mz
604176.6967,174.582,5.429,1006.5,-1382.5,-3500.0,-1338.75,-48.64,-214.32,-351.12
604176.7467,172.02,2.928,1009.001,-2170.0,-3981.25,-61.25,-31.92,-223.44,-340.48
604176.7967,168.848,-3.111,1009.001,-1715.0,-4383.75,2817.5,-25.84,-228.0,-340.48
604176.8467,171.532,-4.453,1008.33,-1802.5,-4725.0,2248.75,-42.56,-208.24,-340.48
604176.8967,169.763,-10.187,1006.805,-1820.0,-4016.25,595.0,-38.0,-209.76,-334.4
604176.9467,165.127,-2.196,1008.635,-1286.25,-3963.75,192.5,-33.44,-208.24,-334.4
604176.9968,168.36,-6.588,1006.805,-3237.5,-5337.5,603.75,-45.6,-218.88,-338.96
604177.0467,187.148,-21.411,1012.112,-490.0,-4541.25,787.5,-44.08,-223.44,-342.0
604177.0967,173.911,6.161,1010.465,-533.75,-2493.75,43.75,-28.88,-217.36,-351.12
604177.1467,163.053,-1.586,1006.683,-2458.75,-5267.5,1032.5,-22.8,-224.96,-334.4
604177.1967,174.643,-7.015,1010.221,-1820.0,-5013.75,1960.0,-31.92,-217.36,-326.8
604177.2467,172.142,-5.856,1010.831,-1347.5,-3823.75,1750.0,-41.04,-224.96,-343.52
604177.2967,172.081,-8.723,1008.147,-2738.75,-5276.25,1330.0,-51.68,-220.4,-334.4
604177.3467,176.229,-7.625,1010.343,-1855.0,-4742.5,638.75,-50.16,-223.44,-351.12
604177.3967,169.946,-6.527,1007.964,-2030.0,-5057.5,1373.75,-51.68,-211.28,-334.4
604177.4467,175.314,-11.407,1008.94,-1715.0,-5118.75,962.5,-30.4,-224.96,-348.08
604177.4967,175.985,-6.588,1006.744,-1137.5,-4322.5,1190.0,-34.96,-220.4,-328.32
604177.5467,169.824,-4.087,1005.036,-1793.75,-4112.5,1137.5,-41.04,-209.76,-348.08
604177.5967,170.983,-3.416,1012.356,-2275.0,-3176.25,953.75,-34.96,-203.68,-319.2
604177.6467,155.855,-11.407,1015.101,-2546.25,-3570.0,1321.25,-25.84,-214.32,-346.56
604177.6967,139.385,-22.936,1019.371,-4830.0,-4182.5,-183.75,-21.28,-220.4,-335.92
604177.7467,139.507,-40.626,1018.273,-2196.25,-6711.25,-1190.0,-33.44,-226.48,-337.44
604177.7967,152.378,-14.701,1013.515,-1470.0,-8277.5,-1120.0,-41.04,-203.68,-343.52
604177.8467,166.652,-14.823,1007.659,-3745.0,-10342.5,-866.25,-30.4,-211.28,-348.08
604177.8967,200.08,-34.709,1002.596,-665.0,-9152.5,-420.0,-24.32,-220.4,-354.16
604177.9467,200.568,-24.949,992.836,-1706.25,-8478.75,-4585.0,-50.16,-220.4,-342.0
604177.9967,197.091,-30.988,999.424,866.25,-6378.75,-4103.75,-51.68,-220.4,-349.6
604178.0468,194.163,-1.281,1000.522,4725.0,-4690.0,-385.0,-28.88,-199.12,-325.28
604178.0967,189.832,25.315,1006.561,5180.0,-3867.5,-1793.75,-36.48,-217.36,-337.44
604178.1468,179.035,8.906,1006.622,1531.25,-5617.5,-1557.5,-41.04,-214.32,-343.52
604178.1967,186.355,38.247,1007.659,1881.25,-6711.25,-1085.0,-51.68,-221.92,-337.44
604178.2467,188.673,29.219,1006.5,-157.5,-7183.75,-1006.25,-39.52,-212.8,-343.52
604178.2967,196.664,26.962,999.851,350.0,-6851.25,2415.0,-44.08,-228.0,-323.76
604178.3467,199.104,28.487,996.252,-1942.5,-6965.0,3141.25,-38.0,-226.48,-338.96
604178.3967,216.733,9.699,994.544,-4112.5,-7376.25,1968.75,-51.68,-232.56,-340.48
604178.4467,208.01,-5.795,1008.757,-1627.5,-3858.75,787.5,-44.08,-220.4,-345.04
604178.4967,195.261,10.187,1006.622,-936.25,-4891.25,1365.0,-57.76,-224.96,-326.8
604178.5467,196.542,9.394,1005.219,-770.0,-6685.0,2782.5,-47.12,-221.92,-345.04
