         57984006 function calls (56654519 primitive calls) in 229.758 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   255488    0.720    0.000   46.850    0.000 c:\Users\Luna\anaconda3\envs\mentalab3\lib\site-packages\scipy\signal\spectral.py:457(csd)
       18    0.712    0.040   47.760    2.653 f:\PythonProjects\NietoExcercise-1\util.py:153(welchData)
   255506    0.689    0.000    0.689    0.000 c:\Users\Luna\anaconda3\envs\mentalab3\lib\site-packages\scipy\fft\_pocketfft\helper.py:112(_fix_shape)
   255488    0.650    0.000    1.007    0.000 c:\Users\Luna\anaconda3\envs\mentalab3\lib\site-packages\numpy\core\numeric.py:1218(rollaxis)
   768408    0.594    0.000    0.594    0.000 {method 'reshape' of 'numpy.ndarray' objects}
   275306    0.594    0.000   25.568    0.000 c:\Users\Luna\anaconda3\envs\mentalab3\lib\site-packages\numpy\core\fromnumeric.py:70(_wrapreduction)
3945613/3945537    0.588    0.000    0.647    0.000 {built-in method builtins.isinstance}
   255488    0.548    0.000    0.776    0.000 c:\Users\Luna\anaconda3\envs\mentalab3\lib\site-packages\numpy\core\numeric.py:1308(normalize_axis_tuple)
   255488    0.519    0.000    0.519    0.000 {built-in method builtins.abs}
  1593618    0.515    0.000    0.515    0.000 {built-in method builtins.getattr}
       81    0.479    0.006    8.080    0.100 c:\Users\Luna\anaconda3\envs\mentalab3\lib\site-packages\sklearn\feature_selection\_univariate_selection.py:43(f_oneway)
   511012    0.463    0.000   12.078    0.000 c:\Users\Luna\anaconda3\envs\mentalab3\lib\site-packages\scipy\fft\_backend.py:17(__ua_function__)
   894208    0.462    0.000    9.144    0.000 <__array_function__ internals>:2(mean)
  1573999    0.435    0.000    0.435    0.000 {built-in method builtins.hasattr}
   771454    0.422    0.000    1.734    0.000 <__array_function__ internals>:2(result_type)
   766509    0.412    0.000    0.519    0.000 c:\Users\Luna\anaconda3\envs\mentalab3\lib\site-packages\numpy\lib\type_check.py:279(iscomplexobj)
       27    0.383    0.014   17.426    0.645 <decorator-gen-229>:1(__init__)
        9    0.373    0.041   87.873    9.764 f:\PythonProjects\NietoExcercise-1\feature_extraction.py:174(getFeatures)
  1704159    0.366    0.000    1.237    0.000 c:\Users\Luna\anaconda3\envs\mentalab3\lib\site-packages\numpy\core\_asarray.py:86(asanyarray)
2608020/2607858    0.351    0.000    0.352    0.000 {built-in method builtins.issubclass}
  1410255    0.342    0.000    0.342    0.000 {built-in method numpy.core._multiarray_umath.normalize_axis_index}
   766509    0.330    0.000    1.172    0.000 <__array_function__ internals>:2(iscomplexobj)
   255488    0.300    0.000    1.123    0.000 {method 'any' of 'numpy.generic' objects}
       18    0.295    0.016    0.295    0.016 f:\PythonProjects\NietoExcercise-1\Inner_Speech_Dataset\Python_Processing\Data_processing.py:63(Filter_by_condition)
   510976    0.259    0.000    1.374    0.000 <__array_function__ internals>:2(isrealobj)
       18    0.234    0.013    1.424    0.079 c:\Users\Luna\anaconda3\envs\mentalab3\lib\site-packages\scipy\signal\signaltools.py:2036(hilbert)
   255488    0.226    0.000   14.356    0.000 c:\Users\Luna\anaconda3\envs\mentalab3\lib\site-packages\scipy\signal\windows\windows.py:933(general_hamming)
     4990    0.217    0.000    1.256    0.000 c:\Users\Luna\anaconda3\envs\mentalab3\lib\site-packages\numpy\lib\function_base.py:2270(cov)
   255488    0.211    0.000   15.700    0.000 c:\Users\Luna\anaconda3\envs\mentalab3\lib\site-packages\scipy\signal\spectral.py:1920(_triage_segments)
   797257    0.205    0.000    2.115    0.000 c:\Users\Luna\anaconda3\envs\mentalab3\lib\site-packages\numpy\core\_asarray.py:14(asarray)
   255488    0.197    0.000   47.047    0.000 c:\Users\Luna\anaconda3\envs\mentalab3\lib\site-packages\scipy\signal\spectral.py:291(welch)
   258809    0.195    0.000    2.045    0.000 c:\Users\Luna\anaconda3\envs\mentalab3\lib\site-packages\numpy\core\fromnumeric.py:2249(any)
   510976    0.191    0.000    0.894    0.000 c:\Users\Luna\anaconda3\envs\mentalab3\lib\site-packages\numpy\lib\type_check.py:320(isrealobj)
1500806/1500779    0.177    0.000    0.177    0.000 {built-in method builtins.len}
   255488    0.171    0.000    1.339    0.000 <__array_function__ internals>:2(rollaxis)
   511012    0.159    0.000    0.159    0.000 {method 'newbyteorder' of 'numpy.dtype' objects}
   257270    0.153    0.000    0.605    0.000 c:\Users\Luna\anaconda3\envs\mentalab3\lib\site-packages\numpy\core\fromnumeric.py:199(reshape)
   255488    0.149    0.000    9.246    0.000 <__array_function__ internals>:2(linspace)
   257270    0.149    0.000    0.878    0.000 <__array_function__ internals>:2(reshape)
   263318    0.147    0.000    0.483    0.000 c:\Users\Luna\anaconda3\envs\mentalab3\lib\site-packages\numpy\core\fromnumeric.py:52(_wrapfunc)
   255488    0.147    0.000    7.378    0.000 c:\Users\Luna\anaconda3\envs\mentalab3\lib\site-packages\scipy\signal\spectral.py:1784(detrend_func)
   255488    0.147    0.000    0.147    0.000 c:\Users\Luna\anaconda3\envs\mentalab3\lib\site-packages\scipy\signal\windows\windows.py:31(_truncate)
   511012    0.143    0.000    0.464    0.000 c:\Users\Luna\anaconda3\envs\mentalab3\lib\site-packages\scipy\fft\_pocketfft\helper.py:160(_workers)
   255596    0.142    0.000    0.476    0.000 <__array_function__ internals>:2(ndim)
   255488    0.142    0.000    2.523    0.000 <__array_function__ internals>:2(expand_dims)
   258809    0.141    0.000    2.480    0.000 <__array_function__ internals>:2(any)
   255506    0.133    0.000    0.822    0.000 c:\Users\Luna\anaconda3\envs\mentalab3\lib\site-packages\scipy\fft\_pocketfft\helper.py:139(_fix_shape_1d)
  1277485    0.133    0.000    0.133    0.000 c:\Users\Luna\anaconda3\envs\mentalab3\lib\site-packages\numpy\lib\type_check.py:206(_is_type_dispatcher)
    10287    0.131    0.000   12.161    0.001 c:\Users\Luna\anaconda3\envs\mentalab3\lib\site-packages\sklearn\utils\validation.py:83(_assert_all_finite)
   255515    0.131    0.000    0.131    0.000 {method 'transpose' of 'numpy.ndarray' objects}
   255488    0.127    0.000    0.165    0.000 c:\Users\Luna\anaconda3\envs\mentalab3\lib\site-packages\numpy\lib\shape_base.py:600(<listcomp>)
   255830    0.126    0.000    2.486    0.000 {method 'sum' of 'numpy.ndarray' objects}
   255488    0.125    0.000    0.125    0.000 c:\Users\Luna\anaconda3\envs\mentalab3\lib\site-packages\numpy\lib\stride_tricks.py:19(__init__)
     7776    0.123    0.000   18.840    0.002 c:\Users\Luna\anaconda3\envs\mentalab3\lib\site-packages\sklearn\utils\validation.py:461(check_array)
   275306    0.121    0.000    0.121    0.000 c:\Users\Luna\anaconda3\envs\mentalab3\lib\site-packages\numpy\core\fromnumeric.py:71(<dictcomp>)
   255488    0.121    0.000    0.121    0.000 c:\Users\Luna\anaconda3\envs\mentalab3\lib\site-packages\scipy\signal\windows\windows.py:16(_len_guards)
     2430    0.115    0.000    8.887    0.004 c:\Users\Luna\anaconda3\envs\mentalab3\lib\site-packages\sklearn\pipeline.py:314(fit)
   255488    0.109    0.000    0.177    0.000 c:\Users\Luna\anaconda3\envs\mentalab3\lib\site-packages\numpy\core\numeric.py:1358(<listcomp>)
   894208    0.103    0.000    0.103    0.000 c:\Users\Luna\anaconda3\envs\mentalab3\lib\site-packages\numpy\core\fromnumeric.py:3265(_mean_dispatcher)
   260478    0.100    0.000    0.100    0.000 c:\Users\Luna\anaconda3\envs\mentalab3\lib\site-packages\numpy\lib\stride_tricks.py:24(_maybe_view_as_subclass)
     3850    0.100    0.000    0.100    0.000 c:\Users\Luna\anaconda3\envs\mentalab3\lib\site-packages\zmq\sugar\socket.py:480(send)
      144    0.099    0.001    0.099    0.001 {built-in method io.open}
   255488    0.097    0.000   14.453    0.000 c:\Users\Luna\anaconda3\envs\mentalab3\lib\site-packages\scipy\signal\windows\windows.py:708(hann)
   256379    0.092    0.000    0.138    0.000 c:\Users\Luna\anaconda3\envs\mentalab3\lib\site-packages\numpy\core\numeric.py:1816(isscalar)
   268214    0.086    0.000    0.086    0.000 {method 'remove' of 'list' objects}
   268214    0.085    0.000    0.085    0.000 {method 'insert' of 'list' objects}
      189    0.085    0.000    0.274    0.001 c:\Users\Luna\anaconda3\envs\mentalab3\lib\site-packages\mne\io\meas_info.py:720(_check_consistency)
     1782    0.085    0.000    0.122    0.000 c:\Users\Luna\anaconda3\envs\mentalab3\lib\site-packages\numpy\lib\nanfunctions.py:183(_divide_by_count)
     8037    0.076    0.000    0.148    0.000 c:\Users\Luna\anaconda3\envs\mentalab3\lib\site-packages\numpy\lib\arraysetops.py:309(_unique1d)
   771454    0.074    0.000    0.074    0.000 c:\Users\Luna\anaconda3\envs\mentalab3\lib\site-packages\numpy\core\multiarray.py:634(result_type)
   255830    0.073    0.000    2.360    0.000 c:\Users\Luna\anaconda3\envs\mentalab3\lib\site-packages\numpy\core\_methods.py:45(_sum)
   255785    0.071    0.000    0.825    0.000 c:\Users\Luna\anaconda3\envs\mentalab3\lib\site-packages\numpy\core\_methods.py:53(_any)
     2430    0.069    0.000    8.418    0.003 c:\Users\Luna\anaconda3\envs\mentalab3\lib\site-packages\sklearn\svm\_base.py:119(fit)
   511012    0.069    0.000    0.069    0.000 c:\Users\Luna\anaconda3\envs\mentalab3\lib\site-packages\scipy\fft\_pocketfft\helper.py:147(_normalization)
   217728    0.067    0.000    0.103    0.000 c:\Users\Luna\anaconda3\envs\mentalab3\lib\site-packages\mne\utils\check.py:339(_is_numeric)
    15228    0.064    0.000    0.141    0.000 c:\Users\Luna\anaconda3\envs\mentalab3\lib\site-packages\sklearn\utils\validation.py:244(_num_samples)
        9    0.062    0.007    0.470    0.052 f:\PythonProjects\NietoExcercise-1\Inner_Speech_Dataset\Python_Processing\Data_processing.py:88(Transform_for_classificator)
     2430    0.062    0.000   11.999    0.005 f:\PythonProjects\NietoExcercise-1\svmMethods.py:102(svmPipeline)
     2430    0.062    0.000    0.085    0.000 c:\Users\Luna\anaconda3\envs\mentalab3\lib\site-packages\sklearn\utils\class_weight.py:10(compute_class_weight)
30303/25119    0.062    0.000   23.251    0.001 c:\Users\Luna\anaconda3\envs\mentalab3\lib\site-packages\sklearn\utils\validation.py:59(inner_f)
   255596    0.062    0.000    0.062    0.000 c:\Users\Luna\anaconda3\envs\mentalab3\lib\site-packages\numpy\core\fromnumeric.py:3075(ndim)
       18    0.059    0.003    0.059    0.003 f:\PythonProjects\NietoExcercise-1\Inner_Speech_Dataset\Python_Processing\Data_processing.py:156(Filter_by_class)
