TimeStamp,ax,ay,az,gx,gy,gz,mx,my,mz
2080.9239,836.92,-164.578,597.556,-1627.5,-4585.0,761.25,-147.44,-266.0,-270.56
2080.9739,835.334,-162.26,596.092,-1426.25,-4690.0,726.25,-159.6,-266.0,-252.32
2081.0239,836.981,-167.262,595.665,-1496.25,-4786.25,866.25,-162.64,-256.88,-266.0
2081.0739,834.724,-165.92,595.787,-1522.5,-4567.5,498.75,-152.0,-253.84,-273.6
2081.1239,836.31,-165.188,595.787,-1400.0,-4838.75,402.5,-138.32,-255.36,-261.44
2081.1741,836.798,-165.371,597.556,-1365.0,-4602.5,761.25,-156.56,-258.4,-264.48
2081.2239,834.968,-167.872,594.506,-1557.5,-4663.75,778.75,-164.16,-244.72,-259.92
2081.274,835.395,-166.286,597.373,-1531.25,-4480.0,656.25,-162.64,-252.32,-270.56
2081.3239,836.371,-164.334,597.983,-1610.0,-4541.25,323.75,-147.44,-252.32,-258.4
2081.3739,835.456,-164.7,596.458,-1496.25,-5118.75,437.5,-161.12,-240.16,-267.52
2081.4239,838.384,-164.944,596.824,-1443.75,-4506.25,533.75,-155.04,-264.48,-267.52
2081.4739,836.188,-167.628,596.885,-1548.75,-4672.5,551.25,-155.04,-258.4,-267.52
2081.5239,837.286,-163.846,596.824,-1513.75,-4830.0,542.5,-150.48,-252.32,-267.52
2081.5739,837.347,-165.371,596.336,-1391.25,-4637.5,437.5,-156.56,-255.36,-272.08
2081.6239,837.103,-164.395,596.824,-1741.25,-4462.5,498.75,-155.04,-270.56,-270.56
2081.6739,838.14,-163.785,597.556,-1505.0,-4655.0,673.75,-150.48,-266.0,-273.6
2081.7239,835.517,-164.517,598.105,-1610.0,-4733.75,525.0,-135.28,-261.44,-262.96
2081.7739,834.968,-167.323,595.848,-1522.5,-4663.75,516.25,-150.48,-256.88,-273.6
2081.8239,834.907,-164.09,597.8,-1452.5,-4628.75,542.5,-142.88,-259.92,-285.76
2081.8739,837.164,-164.273,597.8,-1443.75,-4795.0,726.25,-158.08,-232.56,-255.36
2081.9239,837.774,-164.7,596.275,-1478.75,-4672.5,726.25,-155.04,-255.36,-269.04
2081.9739,836.493,-164.944,596.458,-1662.5,-4480.0,595.0,-141.36,-241.68,-261.44
2082.0239,834.663,-165.066,596.824,-1583.75,-4663.75,411.25,-127.68,-253.84,-264.48
2082.0739,836.188,-164.09,596.031,-1618.75,-4707.5,411.25,-152.0,-269.04,-262.96
2082.1239,835.944,-165.981,594.994,-1470.0,-4663.75,787.5,-155.04,-267.52,-262.96
2082.1739,835.578,-163.846,598.166,-1400.0,-4917.5,848.75,-156.56,-262.96,-264.48
2082.2239,836.676,-166.957,596.885,-1496.25,-4558.75,463.75,-130.72,-247.76,-256.88
2082.2739,835.883,-165.92,598.654,-1452.5,-4541.25,376.25,-158.08,-250.8,-267.52
2082.3239,834.48,-165.859,595.604,-1723.75,-4488.75,393.75,-164.16,-261.44,-262.96
2082.3739,837.713,-165.859,596.519,-1627.5,-4768.75,796.25,-147.44,-258.4,-266.0
2082.4239,834.907,-162.931,598.776,-1452.5,-4602.5,665.0,-159.6,-246.24,-262.96
2082.4739,838.201,-166.774,597.007,-1820.0,-4506.25,446.25,-156.56,-258.4,-264.48
2082.524,833.016,-163.053,598.166,-1557.5,-4628.75,463.75,-170.24,-267.52,-273.6
2082.5739,835.761,-164.09,597.373,-1540.0,-4488.75,428.75,-156.56,-255.36,-259.92
2082.6239,836.798,-164.334,597.068,-1373.75,-4856.25,647.5,-144.4,-258.4,-275.12
2082.6739,834.846,-164.944,595.116,-1645.0,-4593.75,735.0,-138.32,-246.24,-270.56
2082.7239,837.164,-167.201,595.543,-1487.5,-4821.25,577.5,-145.92,-264.48,-255.36
2082.7739,834.175,-162.931,595.238,-1653.75,-4602.5,446.25,-162.64,-252.32,-266.0
2082.8239,836.31,-165.493,595.543,-1426.25,-5057.5,472.5,-145.92,-246.24,-272.08
2082.8739,836.676,-162.321,598.532,-1505.0,-4698.75,691.25,-136.8,-253.84,-272.08
2082.9239,835.944,-165.127,595.177,-1478.75,-4716.25,577.5,-153.52,-246.24,-269.04
2082.9739,835.7,-164.151,596.092,-1697.5,-4488.75,385.0,-156.56,-256.88,-261.44
2083.0239,834.297,-164.944,596.092,-1680.0,-4383.75,595.0,-153.52,-237.12,-259.92
2083.0739,832.894,-165.249,596.763,-1461.25,-4768.75,551.25,-147.44,-259.92,-267.52
2083.1239,834.846,-166.347,596.397,-1566.25,-4856.25,673.75,-141.36,-253.84,-246.24
2083.1739,833.992,-165.432,594.628,-1400.0,-4593.75,542.5,-147.44,-270.56,-261.44
2083.2239,837.286,-163.175,595.787,-1531.25,-4751.25,420.0,-144.4,-261.44,-264.48
2083.2739,835.212,-166.347,596.519,-1566.25,-4637.5,612.5,-155.04,-250.8,-270.56
2083.3239,834.541,-162.748,599.081,-1522.5,-4585.0,638.75,-155.04,-253.84,-276.64
2083.3739,836.554,-163.114,597.129,-1636.25,-4576.25,612.5,-150.48,-249.28,-269.04
2083.4239,836.859,-166.042,596.336,-1496.25,-4401.25,367.5,-142.88,-258.4,-262.96
2083.4739,835.944,-165.92,598.227,-1513.75,-4602.5,393.75,-142.88,-259.92,-259.92
2083.5239,834.358,-164.578,596.458,-1443.75,-4681.25,612.5,-153.52,-256.88,-272.08
2083.5739,837.896,-161.955,596.092,-1505.0,-4795.0,770.0,-141.36,-258.4,-261.44
2083.6239,836.005,-163.968,595.726,-1478.75,-4567.5,761.25,-161.12,-247.76,-261.44
2083.6739,836.554,-166.408,595.97,-1557.5,-4418.75,428.75,-155.04,-259.92,-252.32
2083.7239,834.663,-162.931,599.813,-1566.25,-4523.75,297.5,-153.52,-253.84,-276.64
2083.7739,837.408,-163.846,595.848,-1583.75,-4716.25,778.75,-155.04,-249.28,-266.0
2083.8239,838.628,-165.249,596.824,-1452.5,-4900.0,822.5,-152.0,-253.84,-269.04
