TimeStamp,Code
335796.1763,sw_6
335821.4336,sw_9
335825.462,sw_14
335831.4858,sw_53
335835.5107,sw_9
335839.5205,sw_14
335845.5556,sw_52
335849.5634,sw_9
335853.593,sw_14
335859.6214,sw_54
335863.6424,sw_9
335867.6541,sw_14
335873.6782,sw_54
335877.7053,sw_9
335881.6842,sw_14
335887.7554,sw_53
335891.7738,sw_9
335895.7871,sw_14
335901.811,sw_54
335905.8404,sw_9
335909.8437,sw_14
335915.8774,sw_51
335919.9011,sw_9
335923.9157,sw_14
335929.9545,sw_51
335933.9641,sw_9
335937.9878,sw_14
335944.0191,sw_51
335948.0299,sw_9
335952.0321,sw_14
335958.0874,sw_54
335962.0861,sw_9
335966.1174,sw_14
335972.1367,sw_52
335976.1341,sw_9
335980.1861,sw_14
335986.2166,sw_51
335990.2344,sw_9
335994.2369,sw_14
336000.2849,sw_52
336004.2805,sw_9
336008.3183,sw_14
336014.3386,sw_52
336018.3662,sw_9
336022.3749,sw_14
336028.4122,sw_53
336032.4294,sw_9
336036.4485,sw_14
336042.4826,sw_51
336046.4972,sw_9
336050.5017,sw_14
336056.5436,sw_52
336060.5635,sw_9
336064.5793,sw_14
336070.596,sw_54
336074.6267,sw_9
336078.6413,sw_14
336084.6797,sw_53
336088.6972,sw_9
336092.6983,sw_14
336098.7444,sw_53
336102.7573,sw_6
336130.258,sw_9
336134.2773,sw_14
336140.3013,sw_54
336144.3216,sw_9
336148.3429,sw_14
336154.3598,sw_52
336158.3877,sw_9
336162.4013,sw_14
336168.4409,sw_53
336172.4605,sw_9
336176.4571,sw_14
336182.5072,sw_52
336186.5167,sw_9
336190.5241,sw_14
336196.5749,sw_52
336200.5877,sw_9
336204.5978,sw_14
336210.5903,sw_51
336214.6202,sw_9
336218.668,sw_14
336224.6917,sw_53
336228.7189,sw_9
336232.7203,sw_14
336238.7715,sw_53
336242.7763,sw_9
336246.8012,sw_14
336252.8358,sw_52
336256.8547,sw_9
336260.8545,sw_14
336266.9016,sw_54
336270.9,sw_9
336274.92,sw_14
336280.9687,sw_54
336284.9862,sw_9
336288.9993,sw_14
336295.0246,sw_54
336299.0533,sw_9
336303.0604,sw_14
336309.0937,sw_51
336313.1179,sw_9
336317.1314,sw_14
336323.1673,sw_54
336327.1739,sw_9
336331.1676,sw_14
336337.2251,sw_53
336341.2504,sw_9
336345.2592,sw_14
336351.2968,sw_52
336355.3042,sw_9
336359.3316,sw_14
336365.3559,sw_51
336369.3797,sw_9
336373.3821,sw_14
336379.4311,sw_51
336383.4419,sw_9
336387.4559,sw_14
336393.4943,sw_51
336397.5031,sw_9
336401.5272,sw_14
336407.5465,sw_53
336411.5935,sw_6
