TimeStamp,ax,ay,az,gx,gy,gz,mx,my,mz
334452.1809,455.792,-132.614,916.464,-1942.5,-4707.5,-4523.75,-135.28,6.08,-231.04
334452.2309,457.317,-115.656,916.281,-1041.25,-4348.75,-3281.25,-127.68,-4.56,-226.48
334452.2809,453.352,-130.906,919.209,-1102.5,-2301.25,848.75,-126.16,-9.12,-234.08
334452.3309,451.461,-127.429,917.318,901.25,-4716.25,4480.0,-132.24,3.04,-232.56
334452.3809,459.147,-127.551,918.66,1233.75,-3937.5,3053.75,-126.16,4.56,-234.08
334452.4309,446.581,-109.739,915.122,-726.25,-4943.75,4261.25,-127.68,15.2,-234.08
334452.4809,463.844,-137.982,923.357,-866.25,-2651.25,2887.5,-142.88,6.08,-229.52
334452.5309,439.2,-117.242,922.076,-2056.25,-2616.25,656.25,-115.52,13.68,-229.52
334452.5809,423.401,-126.88,930.433,-3001.25,-5153.75,-332.5,-123.12,-4.56,-231.04
334452.6309,438.59,-126.026,922.381,-1925.0,-5468.75,-2327.5,-117.04,4.56,-232.56
334452.6809,431.331,-126.575,925.065,-1233.75,-2896.25,1023.75,-126.16,7.6,-235.6
334452.7309,447.435,-101.138,917.928,-2091.25,-3806.25,-1601.25,-117.04,9.12,-232.56
334452.781,430.538,-116.205,930.006,-3290.0,-3928.75,-568.75,-120.08,-6.08,-235.6
334452.8309,449.082,-67.222,928.115,-3963.75,-5460.0,-4847.5,-136.8,1.52,-240.16
334452.8809,454.755,-110.776,931.043,-12267.5,-2143.75,-5573.75,-130.72,4.56,-240.16
334452.9309,406.992,-178.608,920.917,-1443.75,-2318.75,3613.75,-126.16,15.2,-223.44
334452.9809,422.242,-143.411,930.494,4217.5,1557.5,9467.5,-124.64,3.04,-229.52
334453.0309,397.781,-130.113,944.097,2021.25,-61.25,8933.75,-132.24,15.2,-237.12
334453.081,409.737,-147.62,944.829,-6860.0,-4698.75,586.25,-124.64,4.56,-228.0
334453.1309,408.395,-160.613,923.357,726.25,-7638.75,-175.0,-124.64,6.08,-250.8
334453.1809,446.764,-124.928,920.612,-2100.0,-8330.0,-2073.75,-117.04,7.6,-250.8
334453.2309,465.064,-158.356,925.431,-2152.5,-6203.75,-350.0,-136.8,18.24,-238.64
334453.2809,447.13,-148.23,919.941,2835.0,-3132.5,1968.75,-115.52,18.24,-237.12
334453.3309,432.49,-122.0,920.551,-717.5,-2432.5,2231.25,-117.04,16.72,-215.84
334453.3809,432.246,-149.023,935.191,-3998.75,-4663.75,-525.0,-130.72,18.24,-232.56
334453.4309,433.039,-154.147,932.324,1741.25,-1951.25,148.75,-109.44,6.08,-240.16
334453.481,413.946,-109.739,922.686,-918.75,-4042.5,-1417.5,-110.96,0.0,-235.6
334453.5309,427.366,-109.983,928.298,-3570.0,-4235.0,-4961.25,-115.52,1.52,-235.6
334453.5809,417.24,-133.102,943.975,-3543.75,-3150.0,-1758.75,-141.36,0.0,-250.8
334453.6309,411.811,-139.141,935.618,883.75,-5381.25,3062.5,-112.48,7.6,-235.6
334453.6809,424.499,-138.47,936.96,533.75,-6230.0,3605.0,-115.52,9.12,-220.4
334453.7309,423.035,-131.516,924.516,1067.5,-5136.25,770.0,-133.76,7.6,-244.72
334453.7809,421.449,-123.647,929.762,-2126.25,-4252.5,-761.25,-136.8,-4.56,-243.2
334453.8309,405.406,-147.254,932.08,-980.0,-3018.75,1365.0,-126.16,1.52,-235.6
334453.8809,396.134,-134.932,935.008,175.0,-3806.25,2388.75,-101.84,10.64,-238.64
334453.9309,411.445,-143.472,949.892,8916.25,-5521.25,3465.0,-145.92,-7.6,-231.04
334453.9809,454.755,-106.567,925.736,5162.5,-10438.75,3053.75,-115.52,9.12,-234.08
334454.0309,430.599,-55.449,932.08,4025.0,-1373.75,-6396.25,-110.96,-9.12,-228.0
334454.0809,390.827,-53.619,930.616,-5652.5,-6308.75,-8137.5,-121.6,1.52,-246.24
334454.1309,426.146,-114.131,933.605,-5801.25,-4243.75,-4488.75,-103.36,-4.56,-232.56
334454.1809,419.68,-127.978,935.435,-6326.25,-4952.5,-2975.0,-117.04,-4.56,-237.12
334454.2309,397.964,-107.909,936.167,-5748.75,-2800.0,-5346.25,-115.52,3.04,-238.64
334454.2809,379.908,-97.356,943.426,-7245.0,122.5,-8618.75,-127.68,-7.6,-240.16
334454.3309,382.531,-125.416,952.942,-8793.75,-3132.5,-5512.5,-130.72,-3.04,-246.24
334454.381,401.197,-171.959,961.97,-857.5,-8548.75,201.25,-110.96,4.56,-244.72
334454.4309,420.29,-126.148,932.202,2660.0,-10036.25,4340.0,-135.28,-4.56,-241.68
334454.4809,421.388,-110.227,925.98,-105.0,-6142.5,2572.5,-130.72,-6.08,-237.12
334454.5309,429.44,-108.702,940.315,-1977.5,-8872.5,3307.5,-121.6,13.68,-238.64
334454.5809,443.409,-126.758,922.747,2598.75,-11165.0,4620.0,-129.2,-12.16,-228.0
334454.6309,479.521,-135.542,909.022,3815.0,-8251.25,10657.5,-136.8,1.52,-249.28
334454.6809,461.404,-98.881,899.262,2940.0,-6326.25,9240.0,-112.48,-6.08,-224.96
334454.7309,465.918,-122.671,912.072,-315.0,-2231.25,2677.5,-126.16,12.16,-238.64
334454.7809,434.259,-106.628,927.017,-2336.25,280.0,-2415.0,-129.2,4.56,-228.0
334454.831,411.201,-121.207,943.182,-2537.5,26.25,-3430.0,-126.16,7.6,-241.68
334454.8809,403.393,-103.212,938.18,-3010.0,-4208.75,-3797.5,-118.56,1.52,-237.12
334454.9309,424.255,-118.462,937.265,-2677.5,-4051.25,1417.5,-123.12,-6.08,-246.24
334454.9809,427.854,-124.623,930.982,-2782.5,-4541.25,1960.0,-124.64,7.6,-237.12
334455.0309,432.063,-123.281,923.418,-1023.75,-1408.75,1251.25,-121.6,0.0,-241.68
334455.081,414.861,-94.001,923.418,-2353.75,857.5,-1067.5,-115.52,3.04,-246.24
334455.1309,395.646,-134.322,951.356,-6265.0,-1391.25,-2957.5,-123.12,-10.64,-240.16
334455.1809,391.742,-154.33,949.953,-3692.5,-5066.25,-341.25,-115.52,3.04,-240.16
334455.2309,399.001,-141.703,943.243,962.5,-5985.0,586.25,-123.12,6.08,-223.44
334455.2809,391.62,-104.31,937.875,-787.5,-8758.75,-525.0,-133.76,-16.72,-231.04
334455.3309,437.187,-120.841,928.847,-3316.25,-8391.25,-2730.0,-129.2,4.56,-223.44
334455.3809,426.39,-115.9,928.237,-3307.5,-9327.5,-1067.5,-133.76,-4.56,-232.56
