TimeStamp,Code
334452.1428,sw_6
334455.7471,sw_9
334459.7659,sw_14
334465.7952,sw_52
334469.811,sw_9
334473.8307,sw_14
334479.8562,sw_54
334483.883,sw_9
334487.8973,sw_14
334493.8868,sw_54
334497.9474,sw_9
334501.9629,sw_14
334507.9869,sw_53
334511.9994,sw_9
334516.0248,sw_14
334522.0477,sw_52
334526.0752,sw_9
334530.0781,sw_14
334536.1274,sw_54
334540.1391,sw_9
334544.1373,sw_14
334550.1552,sw_51
334554.1806,sw_9
334558.2205,sw_14
334564.2514,sw_53
334568.267,sw_9
334572.277,sw_14
334578.3092,sw_51
334582.3355,sw_9
334586.3566,sw_14
334592.3815,sw_53
334596.3934,sw_9
334600.4233,sw_14
334606.4545,sw_54
334610.4607,sw_9
334614.4754,sw_14
334620.5159,sw_53
334624.5414,sw_9
334628.553,sw_14
334634.5865,sw_53
334638.5942,sw_9
334642.6226,sw_14
334648.6086,sw_52
334652.6656,sw_9
334656.684,sw_14
334662.7076,sw_51
334666.734,sw_9
334670.7453,sw_14
334676.7828,sw_51
334680.8038,sw_9
334684.8198,sw_14
334690.8511,sw_52
334694.872,sw_9
334698.8854,sw_14
334704.9071,sw_54
334708.8969,sw_9
334712.9341,sw_14
334718.9701,sw_52
334722.9868,sw_9
334727.0195,sw_14
334733.0436,sw_51
334737.0746,sw_6
334746.3068,sw_9
334750.3279,sw_14
334756.3641,sw_54
334760.3659,sw_9
334764.3958,sw_14
334770.4324,sw_52
334774.4503,sw_9
334778.4596,sw_14
334784.481,sw_51
334788.5153,sw_9
334792.5299,sw_14
334798.5636,sw_54
334802.5766,sw_9
334806.5968,sw_14
334812.6309,sw_53
334816.6438,sw_9
334820.6627,sw_14
334826.686,sw_52
334830.7132,sw_9
334834.7282,sw_14
334840.7549,sw_52
334844.7675,sw_9
334848.795,sw_14
334854.8029,sw_53
334858.8299,sw_9
334862.8517,sw_14
334868.8912,sw_53
334872.9096,sw_9
334876.9197,sw_14
334882.955,sw_52
334886.9687,sw_9
334890.9702,sw_14
334897.0194,sw_54
334901.0235,sw_9
334905.0589,sw_14
334911.0762,sw_51
334915.1058,sw_9
334919.0837,sw_14
334925.1578,sw_52
334929.1753,sw_9
334933.1908,sw_14
334939.2239,sw_51
334943.2374,sw_9
334947.2569,sw_14
334953.2847,sw_51
334957.3051,sw_9
334961.3081,sw_14
334967.3523,sw_54
334971.3632,sw_9
334975.3564,sw_14
334981.4219,sw_53
334985.4299,sw_9
334989.4543,sw_14
334995.4685,sw_51
334999.5053,sw_9
335003.5152,sw_14
335009.5527,sw_54
335013.5636,sw_9
335017.5863,sw_14
335023.6148,sw_53
335027.6499,sw_6
335063.93,sw_9
335067.9366,sw_14
335074.016,sw_51
335078.0187,sw_9
335082.0454,sw_14
335088.0817,sw_52
335092.097,sw_9
335096.1099,sw_14
335102.1464,sw_53
335106.1638,sw_9
335110.1805,sw_14
335116.2016,sw_54
335120.2314,sw_9
335124.2076,sw_14
335130.2621,sw_52
335134.2846,sw_9
335138.2904,sw_14
335144.3284,sw_51
335148.349,sw_9
335152.3786,sw_14
335158.3749,sw_53
335162.388,sw_9
335166.419,sw_14
335172.4696,sw_51
335176.4942,sw_9
335180.5012,sw_14
335186.5432,sw_53
335190.5541,sw_9
335194.5744,sw_14
335200.5948,sw_54
335204.6221,sw_9
335208.6306,sw_14
335214.6695,sw_54
335218.684,sw_9
335222.6943,sw_14
335228.7382,sw_52
335232.7522,sw_9
335236.7718,sw_14
335242.7914,sw_54
335246.8228,sw_9
335250.8359,sw_14
335256.8367,sw_53
335260.8895,sw_9
335264.9054,sw_14
335270.94,sw_54
335274.9541,sw_9
335278.9448,sw_14
335284.9955,sw_52
335289.0195,sw_9
335293.0307,sw_14
335299.0613,sw_51
335303.077,sw_9
335307.1001,sw_14
335313.136,sw_51
335317.1422,sw_9
335321.1691,sw_14
335327.2015,sw_53
335331.2185,sw_9
335335.2303,sw_14
335341.267,sw_52
335345.294,sw_6
335409.1044,sw_9
335413.1324,sw_14
335419.1641,sw_54
335423.1716,sw_9
335427.1979,sw_14
335433.2279,sw_54
335437.2449,sw_9
335441.2627,sw_14
335447.2818,sw_54
335451.2503,sw_9
335455.2944,sw_14
335461.3608,sw_52
335465.3768,sw_9
335469.3885,sw_14
335475.4206,sw_53
335479.4435,sw_9
335483.4452,sw_14
335489.492,sw_51
335493.5098,sw_9
335497.5224,sw_14
335503.5605,sw_53
335507.5762,sw_9
335511.5906,sw_14
335517.6251,sw_51
335521.6393,sw_9
335525.6365,sw_14
335531.689,sw_53
335535.691,sw_9
335539.7222,sw_14
335545.7206,sw_52
335549.7532,sw_9
335553.7832,sw_14
335559.816,sw_53
335563.8403,sw_9
335567.8562,sw_14
335573.8813,sw_51
335577.903,sw_9
335581.9212,sw_14
335587.9378,sw_53
335591.9728,sw_9
335595.9725,sw_14
335602.0088,sw_54
335606.0379,sw_9
335610.0419,sw_14
335616.0865,sw_52
335620.0943,sw_9
335624.1149,sw_14
335630.1518,sw_52
335634.1703,sw_9
335638.1575,sw_14
335644.2084,sw_54
335648.2329,sw_9
335652.2512,sw_14
335658.2706,sw_51
335662.3013,sw_9
335666.307,sw_14
335672.3332,sw_52
335676.368,sw_9
335680.3761,sw_14
335686.4149,sw_51
335690.4328,sw_6
