TimeStamp,Code
4185.094,sw_6
4195.8081,sw_9
4199.8262,sw_14
4205.8737,sw_53
4209.8876,sw_9
4213.9147,sw_14
4219.9425,sw_54
4223.9619,sw_9
4227.9804,sw_14
4234.0124,sw_54
4238.0096,sw_9
4242.0429,sw_14
4248.0793,sw_52
4252.0932,sw_9
4256.0938,sw_14
4262.1454,sw_53
4266.1594,sw_9
4270.1694,sw_14
4276.2103,sw_53
4280.2256,sw_9
4284.2313,sw_14
4290.2698,sw_54
4294.2718,sw_9
4298.2981,sw_14
4304.3268,sw_51
4308.347,sw_9
4312.3676,sw_14
4318.4087,sw_54
4322.4219,sw_9
4326.4261,sw_14
4332.4382,sw_52
4336.4759,sw_9
4340.5049,sw_14
4346.5414,sw_52
4350.5287,sw_9
4354.5868,sw_14
4360.6199,sw_51
4364.639,sw_9
4368.6562,sw_14
4374.6725,sw_53
4378.6989,sw_9
4382.7071,sw_14
4388.7243,sw_54
4392.73,sw_9
4396.7686,sw_14
4402.8172,sw_52
4406.8342,sw_9
4410.8476,sw_14
4416.8882,sw_51
4420.9024,sw_9
4424.9026,sw_14
4430.9211,sw_53
4434.9664,sw_9
4438.9641,sw_14
4445.0198,sw_51
4449.0103,sw_9
4453.0222,sw_14
4459.0822,sw_52
4463.0872,sw_9
4467.1011,sw_14
4473.1429,sw_51
4477.1791,sw_6
