TimeStamp,ch1,ch2,ch3,ch4,ch5,ch6,ch7
2077.6991,-374512.57,-381327.15,-373433.78,-377280.04,-374439.95,-371808.38,-350304.79
2077.7031,-372030.35,-374938.39,-373266.93,-376346.35,-371617.89,-371052.98,-361880.63
2077.7071,-368538.71,-362388.03,-378667.73,-378020.09,-370955.32,-371899.6,-383886.1
2077.7111,-369039.05,-361451.53,-382144.4,-379970.55,-373510.17,-373166.46,-384701.58
2077.7151,-371952.2,-371428.96,-379538.53,-379499.24,-375637.86,-373184.44,-367716.79
2077.7191,-374448.58,-381279.37,-373451.04,-377239.51,-374438.62,-371751.21,-350387.09
2077.7231,-371942.37,-374749.99,-372990.99,-376283.79,-371370.12,-370955.18,-362271.88
2077.7271,-368458.31,-362236.88,-378409.76,-377963.68,-370760.49,-371839.95,-384193.94
2077.7311,-368999.19,-361356.11,-382035.68,-379945.61,-373431.58,-373151.59,-384863.33
2077.7351,-371904.8,-371284.29,-379458.71,-379475.69,-375542.4,-373163.22,-367888.35
2077.7391,-374444.1,-381177.47,-373295.54,-377230.36,-374258.9,-371742.39,-350643.06
2077.7431,-371934.17,-374665.83,-372827.1,-376237.01,-371131.08,-370907.73,-362523.17
2077.7471,-368452.21,-362187.76,-378300.09,-377912.33,-370565.79,-371763.23,-384355.64
2077.7511,-368966.05,-361332.17,-382008.88,-379906.75,-373360.34,-373095.8,-384954.16
2077.7551,-371886.82,-371223.45,-379459.71,-379487.99,-375519.03,-373152.49,-368124.96
2077.7591,-374460.69,-381141.95,-373213.05,-377246.47,-374170.68,-371717.83,-350885.48
2077.763,-371948.48,-374622.63,-372724.67,-376227.38,-371003.48,-370871.49,-362824.24
2077.767,-368490.31,-362178.7,-378262.52,-377892.97,-370476.72,-371746.06,-384516.81
2077.771,-369049.55,-361323.73,-381978.46,-379913.95,-373284.96,-373094.94,-384991.02
2077.775,-371959.78,-371173.28,-379443.4,-379496.24,-375453.99,-373159.6,-368135.97
2077.779,-374529.74,-381186.34,-373259.21,-377244.61,-374182.08,-371735.71,-350703.47
2077.783,-371931.88,-374584.1,-372797.06,-376179.98,-371001.72,-370836.25,-362687.06
2077.787,-368427.65,-362051.63,-378158.85,-377840.52,-370333.43,-371668.67,-384576.03
2077.791,-368988.89,-361113.45,-381678.91,-379848.1,-372926.66,-372975.01,-385287.86
2077.795,-371893.93,-370935.29,-379193.02,-379461.52,-375126.93,-373066.28,-368526.69
2077.799,-374486.78,-381088.02,-373159.74,-377244.85,-374080.37,-371693.37,-350770.61
2077.803,-371944.19,-374661.06,-372736.69,-376206.35,-371016.69,-370861.86,-362540.77
2077.807,-368463.99,-362063.16,-378020.62,-377825.73,-370185.47,-371658.08,-384560.01
2077.811,-369038.63,-361041.92,-381532.57,-379830.5,-372667.6,-372937.82,-385399.58
2077.815,-371909.14,-370807.6,-379152.82,-379449.56,-374919.08,-373031.37,-368682.48
2077.819,-374512.19,-381098.79,-373219.96,-377264.35,-374043.18,-371699.33,-350702.18
2077.823,-371994.54,-374782.99,-372765.3,-376217.36,-371054.98,-370852.71,-362270.16
2077.8269,-368512.1,-362203.74,-378056.86,-377843.43,-370287.22,-371669.05,-384363.41
2077.8309,-369069.86,-361154.22,-381663.65,-379861.21,-372851.37,-372986.55,-385305.12
2077.8349,-371960.11,-370929.52,-379367.02,-379518.27,-375171.28,-373124.64,-368586.16
2077.8389,-374578.04,-381266.54,-373418.57,-377325.77,-374295.57,-371796.46,-350460.95
2077.8429,-372096.54,-375039.1,-372921.51,-376266.0,-371291.35,-370951.94,-361840.48
2077.8469,-368590.16,-362386.94,-378165.86,-377864.55,-370443.34,-371738.19,-384006.16
2077.8509,-369111.01,-361209.77,-381763.65,-379886.96,-372948.5,-373026.7,-385156.11
2077.8549,-371961.3,-370938.92,-379517.41,-379565.71,-375298.21,-373167.51,-368543.24
2077.8589,-374609.32,-381360.86,-373562.38,-377393.43,-374468.18,-371845.67,-350361.15
2077.8629,-372145.51,-375245.33,-372950.88,-376280.45,-371418.09,-370954.08,-361486.19
2077.8669,-368586.44,-362519.83,-378146.5,-377850.82,-370507.62,-371712.11,-383754.97
2077.8709,-369038.82,-361185.74,-381768.51,-379873.37,-372989.79,-373013.16,-385162.64
