TimeStamp,ch1,ch2,ch3,ch4,ch5,ch6,ch7
1918.1388,-368840.74,-360494.9,-379765.65,-378874.35,-370687.62,-372449.87,-387914.42
1918.1428,-369890.59,-362955.61,-381624.93,-380253.88,-373337.03,-373696.71,-383100.08
1918.1468,-373210.09,-374893.47,-378129.72,-379381.51,-375539.49,-373660.13,-362358.57
1918.1508,-374918.41,-381728.22,-373406.79,-377419.33,-374277.25,-372398.23,-350017.97
1918.1548,-371510.74,-371459.58,-374775.79,-377107.33,-371143.81,-371848.01,-368677.99
1918.1588,-368791.05,-360545.68,-379693.08,-378842.92,-370668.26,-372578.62,-387841.8
1918.1628,-370267.86,-362892.67,-381565.95,-380237.2,-373308.42,-373440.07,-383146.62
1918.1668,-373847.58,-374751.85,-378066.49,-379355.14,-375472.59,-373107.19,-362470.0
1918.1708,-375608.01,-381717.44,-373326.92,-377381.42,-374218.89,-371777.91,-349926.7
1918.1748,-372018.0,-371550.03,-374721.91,-377046.2,-371120.88,-371336.46,-368411.92
1918.1788,-368970.06,-360549.64,-379745.1,-378774.97,-370677.37,-372287.13,-387748.05
1918.1828,-370116.13,-362829.06,-381682.73,-380191.28,-373368.26,-373438.74,-383244.66
1918.1868,-373448.85,-374605.08,-378114.6,-379319.33,-375439.45,-373346.95,-362816.38
1918.1908,-375060.94,-381512.12,-373050.4,-377270.89,-373845.67,-372097.39,-350408.21
1918.1947,-371437.07,-371404.79,-374389.45,-376928.33,-370738.03,-371737.0,-368783.9
1918.1987,-368544.96,-360829.92,-380140.06,-378825.28,-371234.7,-372885.13,-387211.08
1918.2027,-370028.92,-363436.5,-382752.23,-380406.38,-374782.99,-374010.7,-381948.18
1918.2067,-373717.07,-374976.82,-378789.9,-379471.01,-376392.36,-373434.4,-362021.97
1918.2107,-375628.95,-381436.3,-372688.05,-377230.93,-373554.23,-371548.12,-350733.85
1918.2147,-372081.66,-371303.51,-373847.72,-376830.48,-370237.01,-371000.38,-369277.71
1918.2187,-369040.29,-361038.58,-380224.08,-378861.0,-371464.73,-372466.61,-387138.99
1918.2227,-370168.59,-363805.15,-383272.88,-380509.23,-375479.89,-373993.01,-381641.15
1918.2267,-373236.37,-375112.77,-379040.72,-379400.82,-376749.94,-373621.41,-362211.27
