TimeStamp,ax,ay,az,gx,gy,gz,mx,my,mz
3769.9152,304.146,-206.912,966.423,-1111.25,-4646.25,726.25,-79.04,10.64,-269.04
3769.9652,298.656,-190.93,967.46,-306.25,-2633.75,848.75,-100.32,25.84,-252.32
3770.0152,279.929,-197.64,969.107,-1163.75,-3018.75,1478.75,-79.04,16.72,-249.28
3770.0652,295.179,-214.049,966.362,700.0,-4917.5,2170.0,-86.64,18.24,-256.88
3770.1152,292.861,-190.625,973.377,-1023.75,-3850.0,2922.5,-95.76,16.72,-246.24
3770.1652,292.373,-204.777,971.547,1662.5,-5232.5,2423.75,-91.2,12.16,-247.76
3770.2152,305.61,-169.763,966.24,-3307.5,-4873.75,-323.75,-92.72,24.32,-247.76
3770.2652,288.957,-216.062,967.765,-3473.75,-4086.25,-988.75,-80.56,7.6,-270.56
3770.3152,302.072,-179.889,962.275,1400.0,-4410.0,-805.0,-94.24,3.04,-279.68
3770.3652,291.397,-186.294,969.473,840.0,-1513.75,262.5,-91.2,4.56,-261.44
3770.4152,283.833,-170.8,977.159,-472.5,-2327.5,-175.0,-117.04,9.12,-252.32
3770.4652,275.476,-172.386,978.013,-1986.25,-3036.25,-490.0,-92.72,15.2,-261.44
3770.5152,276.635,-186.111,981.795,-1872.5,-3858.75,183.75,-100.32,13.68,-256.88
3770.5652,272.304,-183.976,976.305,-586.25,-5407.5,2721.25,-104.88,7.6,-264.48
3770.6152,301.462,-171.959,970.205,-2843.75,-5757.5,1233.75,-91.2,31.92,-261.44
3770.6652,298.229,-198.433,964.715,-4261.25,-5162.5,3080.0,-91.2,3.04,-252.32
3770.7152,281.637,-188.978,977.037,1268.75,-3360.0,2975.0,-79.04,22.8,-253.84
3770.7652,270.901,-188.551,974.048,-1837.5,-4803.75,2336.25,-80.56,6.08,-272.08
3770.8153,287.92,-191.418,969.717,-2222.5,-4042.5,1023.75,-94.24,22.8,-273.6
3770.8652,273.951,-202.459,974.414,-603.75,-3578.75,2432.5,-86.64,22.8,-269.04
3770.9152,283.406,-184.586,970.693,-1627.5,-4838.75,1758.75,-74.48,15.2,-266.0
3770.9652,281.637,-196.542,974.658,-1268.75,-4523.75,551.25,-71.44,22.8,-256.88
3771.0152,279.319,-201.788,973.865,-1295.0,-3876.25,1575.0,-92.72,22.8,-252.32
3771.0652,276.391,-197.457,973.682,-201.25,-5171.25,1531.25,-94.24,7.6,-267.52
3771.1152,286.7,-191.662,969.717,-1540.0,-3517.5,201.25,-74.48,16.72,-252.32
3771.1652,275.11,-191.784,971.913,-1513.75,-3675.0,-665.0,-80.56,13.68,-266.0
3771.2152,282.308,-193.98,974.17,-1907.5,-3517.5,245.0,-82.08,18.24,-255.36
3771.2652,267.912,-198.067,976.061,-647.5,-3018.75,971.25,-68.4,-3.04,-247.76
3771.3152,265.106,-192.089,980.453,-210.0,-4576.25,376.25,-104.88,13.68,-269.04
3771.3652,280.234,-190.381,974.902,-1242.5,-5862.5,463.75,-77.52,16.72,-262.96
3771.4152,281.698,-189.039,969.778,-2038.75,-4786.25,105.0,-98.8,12.16,-262.96
3771.4652,280.173,-195.139,978.135,1365.0,-3027.5,-1505.0,-94.24,0.0,-270.56
3771.5152,266.936,-181.536,979.721,-840.0,-3736.25,-148.75,-88.16,21.28,-264.48
3771.5652,263.032,-182.756,977.22,-1461.25,-4436.25,857.5,-86.64,15.2,-275.12
3771.6152,275.659,-190.32,976.488,-883.75,-5241.25,1968.75,-80.56,6.08,-273.6
3771.6652,274.439,-179.401,972.828,-1137.5,-4690.0,1225.0,-80.56,18.24,-255.36
3771.7152,274.5,-190.015,975.085,-1951.25,-4803.75,-105.0,-83.6,19.76,-266.0
3771.7652,271.389,-192.638,977.342,-1102.5,-4331.25,971.25,-91.2,10.64,-270.56
3771.8152,265.167,-184.769,978.013,-227.5,-5538.75,472.5,-101.84,10.64,-273.6
3771.8652,276.635,-183.183,975.878,-1233.75,-5250.0,105.0,-101.84,10.64,-256.88
3771.9152,271.877,-178.913,976.122,-1785.0,-5468.75,516.25,-97.28,22.8,-266.0
3771.9652,277.489,-186.355,974.719,-2152.5,-5197.5,927.5,-92.72,15.2,-258.4
3772.0152,283.772,-190.442,973.255,-1400.0,-4847.5,1076.25,-92.72,7.6,-261.44
3772.0653,274.561,-193.187,972.95,-498.75,-4751.25,1802.5,-76.0,16.72,-266.0
3772.1152,285.419,-174.826,969.29,-2310.0,-4593.75,358.75,-92.72,19.76,-258.4
3772.1652,275.781,-200.446,975.024,-3937.5,-4847.5,577.5,-76.0,12.16,-258.4
