TimeStamp,ax,ay,az,gx,gy,gz,mx,my,mz
335796.2157,337.33,-122.0,957.029,-4401.25,-7428.75,796.25,-101.84,6.08,-252.32
335796.2657,331.779,-130.723,967.582,-4375.0,-6746.25,-2765.0,-103.36,10.64,-261.44
335796.3157,336.842,-116.815,962.641,-4007.5,-5626.25,-3885.0,-100.32,-6.08,-272.08
335796.3657,347.273,-133.041,960.384,-3010.0,-5678.75,-3823.75,-97.28,4.56,-252.32
335796.4157,353.129,-103.944,949.709,-6098.75,-3841.25,-3447.5,-97.28,3.04,-249.28
335796.4657,347.761,-141.154,959.591,-7682.5,-2283.75,-4095.0,-110.96,7.6,-266.0
335796.5157,324.703,-140.849,969.534,-7070.0,-3237.5,-4550.0,-100.32,4.56,-259.92
335796.5657,316.59,-149.389,969.229,-7192.5,-4515.0,-5460.0,-97.28,18.24,-267.52
335796.6157,332.145,-159.027,972.523,-7026.25,-3290.0,-7481.25,-107.92,6.08,-253.84
335796.6658,322.507,-169.214,973.255,-5101.25,-4961.25,-7271.25,-106.4,9.12,-255.36
335796.7157,327.692,-167.506,961.177,-1181.25,-7770.0,-3080.0,-101.84,10.64,-262.96
335796.7657,345.626,-128.771,951.478,3648.75,-4812.5,-840.0,-104.88,-12.16,-256.88
335796.8157,357.094,-124.562,956.663,1723.75,-6632.5,-140.0,-104.88,12.16,-273.6
335796.8657,336.476,-123.586,969.168,1006.25,-6457.5,-481.25,-124.64,-12.16,-259.92
335796.9157,343.003,-104.127,966.118,1627.5,-7227.5,-2537.5,-106.4,-3.04,-276.64
335796.9657,356.606,-110.715,951.051,-2108.75,-5442.5,-2327.5,-103.36,-10.64,-273.6
335797.0157,360.693,-121.024,950.99,-822.5,-3018.75,-2310.0,-98.8,0.0,-266.0
335797.0657,357.582,-118.157,956.236,1085.0,-2975.0,-630.0,-107.92,-7.6,-255.36
335797.1157,345.87,-100.467,958.676,3465.0,525.0,-673.75,-115.52,-6.08,-266.0
