TimeStamp,ax,ay,az,gx,gy,gz,mx,my,mz
1590.0431,831.857,-157.99,602.375,-1557.5,-4462.5,376.25,-152.0,-240.16,-285.76
1590.0931,831.064,-155.977,603.29,-1496.25,-4602.5,437.5,-165.68,-246.24,-278.16
1590.1431,830.576,-158.051,607.194,-1391.25,-4742.5,603.75,-162.64,-250.8,-275.12
1590.1931,832.223,-157.38,605.059,-1653.75,-4550.0,831.25,-152.0,-253.84,-272.08
1590.2431,829.478,-156.404,602.924,-1443.75,-4698.75,708.75,-139.84,-255.36,-281.2
1590.2931,828.38,-156.892,604.754,-1723.75,-4620.0,411.25,-130.72,-272.08,-270.56
1590.3431,829.661,-155.55,606.279,-1478.75,-4830.0,393.75,-165.68,-253.84,-270.56
1590.3931,831.979,-157.319,604.937,-1382.5,-4812.5,682.5,-144.4,-247.76,-276.64
1590.4431,832.528,-157.319,603.473,-1548.75,-4628.75,796.25,-136.8,-255.36,-276.64
1590.4931,829.844,-156.16,605.791,-1513.75,-4768.75,726.25,-156.56,-244.72,-269.04
1590.5431,832.101,-157.38,605.181,-1653.75,-4777.5,297.5,-152.0,-259.92,-281.2
1590.5931,830.576,-155.123,607.56,-1522.5,-4427.5,437.5,-130.72,-244.72,-275.12
1590.6431,830.576,-156.221,606.706,-1566.25,-4768.75,490.0,-126.16,-246.24,-273.6
1590.6931,833.138,-157.319,607.377,-1522.5,-4908.75,778.75,-147.44,-256.88,-285.76
1590.7433,833.26,-156.587,604.51,-1408.75,-4742.5,630.0,-152.0,-267.52,-266.0
1590.7931,830.027,-155.55,605.547,-1417.5,-4900.0,472.5,-150.48,-244.72,-270.56
1590.8431,833.199,-156.404,605.059,-1645.0,-4488.75,577.5,-152.0,-266.0,-278.16
1590.8931,831.003,-155.733,604.815,-1470.0,-4576.25,542.5,-156.56,-247.76,-273.6
1590.9431,830.393,-156.099,604.571,-1417.5,-4935.0,542.5,-130.72,-256.88,-269.04
1590.9931,833.138,-157.197,603.656,-1618.75,-4287.5,568.75,-144.4,-259.92,-267.52
1591.0431,829.844,-155.733,606.218,-1671.25,-4348.75,472.5,-147.44,-247.76,-279.68
1591.0931,832.284,-156.282,605.364,-1461.25,-4585.0,490.0,-148.96,-261.44,-278.16
1591.1431,831.186,-155.062,603.351,-1513.75,-4567.5,691.25,-138.32,-253.84,-276.64
1591.1931,830.393,-157.746,605.425,-1548.75,-4593.75,682.5,-150.48,-240.16,-272.08
1591.2431,830.576,-155.855,605.852,-1601.25,-4515.0,306.25,-148.96,-249.28,-256.88
1591.2931,830.881,-155.611,606.279,-1671.25,-4716.25,393.75,-152.0,-249.28,-273.6
1591.3431,829.661,-156.648,606.096,-1496.25,-4646.25,726.25,-148.96,-252.32,-267.52
1591.3931,832.223,-158.844,606.462,-1540.0,-4523.75,813.75,-144.4,-262.96,-278.16
1591.4431,830.881,-156.465,607.621,-1566.25,-4462.5,420.0,-158.08,-252.32,-273.6
