TimeStamp,ch1,ch2,ch3,ch4,ch5,ch6,ch7
1587.0604,-374166.63,-378718.04,-371760.27,-376786.47,-371985.34,-370721.19,-355126.71
1587.0644,-372813.65,-376540.8,-368784.19,-374980.83,-368368.05,-369429.58,-358938.78
1587.0684,-368555.88,-364746.8,-375958.34,-376630.11,-369949.38,-370932.05,-379566.14
1587.0724,-367840.86,-361241.19,-382841.59,-379353.0,-374677.89,-373127.79,-384979.72
1587.0764,-370453.93,-368231.1,-380788.71,-379446.22,-375891.92,-373170.71,-373150.11
1587.0804,-373914.91,-378614.52,-371817.3,-376821.52,-372015.52,-370893.14,-355237.05
1587.0844,-372838.3,-376693.2,-368756.15,-375032.42,-368409.53,-369471.78,-358734.94
1587.0884,-368731.59,-364966.96,-375866.51,-376662.82,-369948.86,-370853.85,-379339.74
1587.0924,-368029.92,-361287.73,-382838.91,-379377.93,-374665.07,-372984.88,-385052.2
1587.0964,-370629.88,-368165.2,-380842.11,-379461.19,-375892.97,-372996.95,-373343.46
1587.1004,-374117.8,-378578.33,-371883.48,-376842.35,-372052.9,-370729.11,-355392.16
1587.1044,-373058.89,-376822.66,-368691.54,-375022.07,-368405.29,-369306.42,-358567.04
1587.1084,-368860.86,-365115.59,-375768.42,-376648.18,-369904.99,-370775.08,-379172.94
1587.1124,-367938.99,-361273.28,-382823.23,-379357.72,-374611.28,-373033.14,-385168.46
1587.1164,-370393.18,-368089.58,-380938.48,-379470.11,-375890.25,-373182.68,-373557.8
1587.1203,-373815.06,-378526.07,-371998.16,-376854.18,-372085.95,-370974.3,-355556.63
1587.1243,-372841.97,-376883.98,-368756.15,-375019.69,-368431.95,-369528.43,-358546.35
1587.1283,-368707.65,-365152.35,-375738.71,-376604.32,-369873.57,-370887.28,-379132.03
1587.1323,-367843.0,-361195.18,-382780.26,-379303.41,-374545.71,-373029.47,-385233.54
1587.1363,-370379.54,-367951.63,-380932.33,-379462.81,-375883.96,-373113.96,-373681.21
1587.1403,-373918.91,-378427.26,-371988.2,-376875.49,-372108.93,-370844.74,-355642.46
1587.1443,-373026.61,-376879.4,-368636.7,-375010.63,-368405.58,-369320.06,-358441.3
1587.1483,-368913.07,-365154.31,-375602.96,-376584.67,-369811.72,-370670.41,-379073.19
1587.1523,-368000.74,-361178.35,-382729.62,-379312.42,-374526.35,-372900.15,-385269.74
1587.1563,-370423.46,-367893.12,-380993.65,-379490.75,-375893.97,-373104.24,-373806.19
1587.1603,-373820.54,-378369.14,-372096.58,-376893.61,-372126.39,-370937.49,-355709.88
1587.1643,-372878.17,-376964.04,-368667.36,-375018.4,-368406.44,-369483.23,-358296.01
1587.1683,-368723.25,-365263.79,-375567.91,-376572.7,-369778.44,-370837.78,-378892.9
1587.1723,-367814.2,-361196.37,-382735.49,-379328.44,-374501.18,-373050.21,-385293.01
1587.1763,-370305.53,-367843.77,-381070.23,-379544.88,-375909.8,-373205.52,-373937.65
1587.1803,-373838.42,-378360.32,-372166.49,-376968.48,-372172.92,-370969.77,-355847.26
1587.1842,-373067.28,-377091.74,-368632.17,-375052.35,-368419.64,-369390.15,-358156.91
1587.1882,-369016.07,-365404.22,-375501.06,-376574.42,-369750.97,-370658.01,-378738.64
1587.1922,-368057.87,-361192.32,-382711.74,-379304.88,-374461.41,-372851.37,-385348.65
1587.1962,-370463.75,-367761.85,-381124.16,-379538.77,-375913.28,-373081.2,-374135.63
1587.2002,-373896.26,-378300.52,-372252.56,-376963.23,-372206.97,-370936.63,-355993.65
1587.2042,-373065.04,-377188.82,-368619.82,-375033.42,-368432.85,-369436.78,-358040.71
1587.2082,-368916.03,-365501.97,-375413.46,-376533.31,-369718.64,-370754.05,-378596.92
1587.2122,-367911.0,-361192.75,-382696.91,-379293.87,-374445.29,-372997.61,-385419.94
1587.2162,-370324.37,-367692.47,-381192.54,-379558.75,-375934.65,-373226.26,-374291.23
1587.2202,-373830.27,-378259.37,-372334.14,-377010.3,-372259.76,-371048.78,-356112.71
1587.2242,-373111.72,-377248.43,-368613.19,-375048.68,-368449.45,-369444.94,-357930.42
1587.2282,-369012.16,-365521.9,-375357.43,-376510.86,-369677.4,-370652.2,-378481.81
